@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
144,'2024/12/09 03:08:16:129',1,15876,-2091,-3665,-1626,549,-102,?,?,?
145,'2024/12/09 03:08:16:149',1,15691,-2041,-3609,-1894,1153,-146,?,?,?
146,'2024/12/09 03:08:16:168',1,15691,-2041,-3609,-1894,1153,-146,?,?,?
147,'2024/12/09 03:08:16:188',1,15691,-2041,-3609,-1894,1153,-146,?,?,?
148,'2024/12/09 03:08:16:208',1,15816,-2004,-3607,-2038,621,-127,?,?,?
149,'2024/12/09 03:08:16:227',1,15816,-2004,-3607,-2038,621,-127,?,?,?
150,'2024/12/09 03:08:16:247',1,15816,-2004,-3607,-2038,621,-127,?,?,?
151,'2024/12/09 03:08:16:266',1,16577,-2026,-4658,-755,4809,111,?,?,?
152,'2024/12/09 03:08:16:282',1,16577,-2026,-4658,-755,4809,111,?,?,?
153,'2024/12/09 03:08:16:301',1,16577,-2026,-4658,-755,4809,111,?,?,?
154,'2024/12/09 03:08:16:317',1,20342,-2682,-6516,2456,26245,-835,?,?,?
155,'2024/12/09 03:08:16:335',1,20342,-2682,-6516,2456,26245,-835,?,?,?
156,'2024/12/09 03:08:16:352',1,20342,-2682,-6516,2456,26245,-835,?,?,?
157,'2024/12/09 03:08:16:370',1,16366,-1551,-3889,209,32766,-2285,?,?,?
158,'2024/12/09 03:08:16:390',1,16366,-1551,-3889,209,32766,-2285,?,?,?
159,'2024/12/09 03:08:16:407',1,16366,-1551,-3889,209,32766,-2285,?,?,?
160,'2024/12/09 03:08:16:426',1,7605,-81,11947,-2849,32766,1759,?,?,?
161,'2024/12/09 03:08:16:446',1,7605,-81,11947,-2849,32766,1759,?,?,?
162,'2024/12/09 03:08:16:463',1,7605,-81,11947,-2849,32766,1759,?,?,?
163,'2024/12/09 03:08:16:483',1,2266,-297,13973,-928,32766,2747,?,?,?
164,'2024/12/09 03:08:16:500',1,2266,-297,13973,-928,32766,2747,?,?,?
165,'2024/12/09 03:08:16:518',1,2266,-297,13973,-928,32766,2747,?,?,?
166,'2024/12/09 03:08:16:537',1,-3688,-2794,13599,-9190,22312,-5809,?,?,?
167,'2024/12/09 03:08:16:553',1,-3688,-2794,13599,-9190,22312,-5809,?,?,?
168,'2024/12/09 03:08:16:569',1,-3688,-2794,13599,-9190,22312,-5809,?,?,?
169,'2024/12/09 03:08:16:589',1,-8200,-4528,16812,-3651,25246,-2473,?,?,?
170,'2024/12/09 03:08:16:608',1,-8200,-4528,16812,-3651,25246,-2473,?,?,?
171,'2024/12/09 03:08:16:625',1,-8200,-4528,16812,-3651,25246,-2473,?,?,?
172,'2024/12/09 03:08:16:644',1,-9200,-5225,13027,-2179,14441,-5093,?,?,?
173,'2024/12/09 03:08:16:661',1,-9200,-5225,13027,-2179,14441,-5093,?,?,?
174,'2024/12/09 03:08:16:678',1,-9200,-5225,13027,-2179,14441,-5093,?,?,?
175,'2024/12/09 03:08:16:695',1,-10492,-4687,12568,-1261,12955,-4886,?,?,?
176,'2024/12/09 03:08:16:714',1,-10492,-4687,12568,-1261,12955,-4886,?,?,?
177,'2024/12/09 03:08:16:732',1,-10492,-4687,12568,-1261,12955,-4886,?,?,?
178,'2024/12/09 03:08:16:751',1,-11269,-5184,9721,-2659,12501,-2837,?,?,?
179,'2024/12/09 03:08:16:769',1,-11269,-5184,9721,-2659,12501,-2837,?,?,?
